"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*04sjt*","Alisson","LIV","G","128","CTM","@CRY Sat 3:00PM","39","7.8","95%","-1%"
"*068yd*","Joao Gomes","WOL","M","129","Dank95","@TOT Sat 8:00PM","38.7","7.74","33%","+1.6%"
"*05omu*","Ruben Dias","MCI","D","130","FPLL","BUR Sat 3:00PM","38.28","7.66","72%","+0.2%"
"*063q8*","Mikkel Damsgaard","BRF","M","131","CUM","MUN Sat 12:30PM","37.82","12.61","95%","+0.2%"
"*05nt6*","Eberechi Eze","ARS","M","132","BMB","@NEW Sun 4:30PM","37.8","9.45","100%","-0.1%"
"*06mx0*","Leny Yoro","MUN","D","133","FA","@BRF Sat 12:30PM","37.7","7.54","44%","-11.6%"
"*03rxs*","Harry Wilson","FUL","M","134","FA","@AVL Sun 2:00PM","37.02","7.4","47%","-8.3%"
"*068n8*","Noni Madueke","ARS","M","135","W <small>(Fri)</small>","@NEW Sun 4:30PM","36.76","7.35","97%","+2.1%"
"*061ya*","Brennan Johnson","TOT","F","136","feeneya","WOL Sat 8:00PM","36.65","7.33","93%","-4.1%"
"*03am7*","Jacob Murphy","NEW","M","137","FPLL","ARS Sun 4:30PM","36.59","9.15","79%","+13.2%"
"*04mi4*","Callum Hudson-Odoi","NOT","F","138","CUM","SUN Sat 5:30PM","35.81","7.16","93%","-3.2%"
"*05u1m*","Nathan Collins","BRF","D","139","EDL4EFL","MUN Sat 12:30PM","35.65","7.13","72%","-3.9%"
"*067zv*","Kevin Schade","BRF","F","140","EDL4EFL","MUN Sat 12:30PM","35.62","7.12","88%","+6.8%"
"*04yey*","Max Kilman","WHU","D","141","EDL4EFL","@EVE Mon 8:00PM","35.4","7.08","32%","-2.1%"
"*06v21*","Florian Wirtz","LIV","M","142","CUM","@CRY Sat 3:00PM","35.34","7.07","100%","0%"
"*04fk6*","Bernardo Silva","MCI","M","143","CUM","BUR Sat 3:00PM","34.53","6.91","89%","+3%"
"*06jgs*","Adam Wharton","CRY","M","144","CTM","LIV Sat 3:00PM","33.9","8.47","40%","+0.2%"
"*068lx*","Dango Ouattara","BRF","M","145","BMB","MUN Sat 12:30PM","33.76","8.44","91%","-2.7%"
"*05748*","Ismaila Sarr","CRY","M","146","CUM","LIV Sat 3:00PM","33.55","11.18","96%","+0.1%"
"*02lp9*","Kyle Walker","BUR","D","147","FA","@MCI Sat 3:00PM","33.5","6.7","13%","-1.1%"
"*04ml6*","Konstantinos Mavropanos","WHU","D","148","joester1","@EVE Mon 8:00PM","33.4","11.13","2%","+0.4%"
"*04tm0*","Lucas Digne","AVL","D","149","FPLL","FUL Sun 2:00PM","33.37","6.67","56%","+4.2%"
"*06fx0*","Altay Bayindir","MUN","G","150","FA","@BRF Sat 12:30PM","33.25","6.65","7%","-2.8%"
"*04y92*","Bukayo Saka","ARS","M","151","feeneya","@NEW Sun 4:30PM","33.24","11.08","100%","-0.2%"
"*06y59*","Noah Sadiki","SUN","M","152","FA","@NOT Sat 5:30PM","32.77","6.55","3%","+1%"
"*06cmu*","Bart Verbruggen","BHA","G","153","feeneya","@CHE Sat 3:00PM","32.75","6.55","12%","-1.7%"
"*062a9*","Sven Botman","NEW","D","154","FA","ARS Sun 4:30PM","32.66","10.89","13%","+0.9%"
"*0554g*","Calvin Bassey","FUL","D","155","Fsail93","@AVL Sun 2:00PM","32.25","6.45","7%","+1.2%"
"*049tq*","Dominic Calvert-Lewin","LEE","F","156","Dank95","BOU Sat 3:00PM","32.05","10.68","23%","+9.7%"
"*06fvn*","Beto","EVE","F","157","Dank95","WHU Mon 8:00PM","31.85","6.37","63%","-5.4%"
"*045ob*","Caoimhin Kelleher","BRF","G","158","Rozza08","MUN Sat 12:30PM","31.75","6.35","57%","-4.1%"
"*05uht*","Morgan Rogers","AVL","M","159","FPLL","FUL Sun 2:00PM","31.42","6.28","98%","-0.5%"
"*05gcs*","Sander Berge","FUL","M","160","FA","@AVL Sun 2:00PM","31.41","6.28","2%","+0.2%"
"*05ylj*","Bruno Guimaraes","NEW","M","161","Ekitiki","ARS Sun 4:30PM","31.4","7.85","94%","-3.4%"
"*02lz0*","Emiliano Martinez","AVL","G","162","joester1","FUL Sun 2:00PM","31.15","10.38","47%","+8.6%"
"*06mw0*","Nikola Milenkovic","NOT","D","163","feeneya","SUN Sat 5:30PM","30.9","6.18","76%","-6.9%"
"*067yz*","Matheus Cunha","MUN","F","164","FPLL","@BRF Sat 12:30PM","30.9","7.72","100%","0%"
"*05ye7*","Oscar Bobb","MCI","M","165","CTM","BUR Sat 3:00PM","30.62","7.66","56%","-14.1%"
"*06mn8*","Rodrigo Gomes","WOL","M","166","FA","@TOT Sat 8:00PM","30.43","7.61","10%","+6.8%"
