"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","CS","GA","Sv","YC","RC","Pen","PKS","SBON","SBOF","TkW","DIS","G","KP","AT","Int","CLR","CoS","AER","HCS","Sm","OG","SOT"
"*02lym*","Lukasz Fabianski","WHU","G","G","45","FA","@MCI Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzk*","Etienne Green","BUR","G","G","49","FA","@BOU Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nyx*","Finlay Herrick","WHU","G","G","56","FA","@MCI Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rc7*","Harry Tyrer","EVE","G","G","95","FA","ARS Sat 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062pa*","Joseph Whitworth","CRY","G","G","99","FA","@LEE Sat 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05u40*","Ellery Balcombe","BRF","G","G","34","FA","@WOL Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cmt*","Tom King","EVE","G","G","60","FA","ARS Sat 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y6a*","Filip Marschall","AVL","G","G","64","FA","MUN Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jgu*","Callan McKenna","BOU","G","G","67","W <small>(Fri)</small>","BUR Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mex*","Alex Paulsen","BOU","G","G","80","W <small>(Fri)</small>","BUR Sat 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
