"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*06zce*","Jhon Arias","WOL","M","M","231","FA","@ARS Sat 8:00PM","5.6","5.6","16%","-2%","1","1","80","0","0.0","0","0","1","0","1","4","0","0","1","0","0","0"
"*05tre*","Vitaly Janelt","BRF","M","M","357","FA","LEE Sun 4:30PM","5.6","5.6","1%","0%","1","1","60","0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
"*052ca*","Ezri Konsa","AVL","D","D","138","Fsail93","@WHU Sun 2:00PM","5.55","5.55","32%","+1%","1","1","90","0","0.0","0","0","2","1","0","2","0","0","0","0","0","0"
"*06dwm*","Jacob Bruun Larsen","BUR","F","F","275","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","5.55","5.55","2%","0%","1","0","45","0","0.0","0","0","2","1","0","0","0","0","0","0","0","0"
"*05tqz*","Rico Henry","BRF","D","D","360","FA","LEE Sun 4:30PM","5.46","5.46","1%","0%","1","1","73","0","0.0","0","0","0","0","1","3","0","0","1","0","0","0"
"*04mup*","Trevoh Chalobah","CHE","D","D","10","CTM","EVE 0<br/>@CHE 2 F","5.45","5.45","89%","0%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
"*06y59*","Noah Sadiki","SUN","M","M","160","FA","NEW Sun 2:00PM","5.45","5.45","5%","0%","1","1","90","0","0.0","0","0","1","0","1","2","0","0","1","0","0","0"
"*05gcc*","Kiernan Dewsbury-Hall","EVE","M","M","56","FPLL","EVE 0<br/>@CHE 2 F","5.3","5.3","87%","+2%","1","1","90","0","0.0","0","0","0","0","1","2","0","0","1","0","0","1"
"*06clt*","Justin Kluivert","BOU","M","M","278","feeneya","@MUN Mon 8:00PM","5.28","5.28","63%","-3%","1","1","69","0","0.0","0","0","0","0","2","2","1","0","5","0","0","0"
"*068a0*","Andrey Santos","CHE","M","M","315","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","5.27","5.27","3%","-2%","1","1","76","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"*0646f*","Alexander Isak","LIV","F","F","287","FPLL","BHA 0<br/>@LIV 2 F","5.2","5.2","99%","0%","1","1","85","0","0.0","0","0","3","0","3","0","0","0","3","0","0","0"
"*06uzo*","Zian Flemming","BUR","M","M","172","ojag7","FUL 1<br/>@BUR 1","5.16","5.16","14%","+1%","1","1","58","0","0.0","0","0","1","1","1","1","0","0","1","0","0","0"
"*062h7*","Tyler Adams","BOU","M","M","110","Rozza08","@MUN Mon 8:00PM","5.05","5.05","28%","-1%","1","1","90","0","0.0","0","0","0","0","3","2","1","0","6","0","0","0"
"*06jgs*","Adam Wharton","CRY","M","M","118","CTM","MCI Sun 2:00PM","5","5","66%","+2%","1","1","75","0","0.0","0","0","0","0","1","2","0","0","1","0","0","1"
"*0522h*","Alexis Mac Allister","LIV","M","M","179","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","4.96","4.96","82%","-1%","1","1","73","0","0.0","0","0","2","0","0","1","0","0","0","0","0","0"
"*05t6y*","Hannibal Mejbri","BUR","M","M","309","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","4.9","4.9","1%","0%","1","0","30","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"*061vk*","Jaidon Anthony","BUR","F","F","105","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","4.89","4.89","73%","-5%","1","1","57","0","0.0","0","0","1","1","2","0","0","0","2","0","0","0"
"*04lnu*","Lukas Nmecha","LEE","F","F","227","FA","@BRF Sun 4:30PM","4.82","4.82","14%","-3%","1","1","66","0","0.0","0","0","2","1","1","1","0","0","1","0","0","0"
"*06cms*","Sandro Tonali","NEW","M","M","136","Ekitiki","@SUN Sun 2:00PM","4.8","4.8","83%","-2%","1","1","45","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*04yo7*","Youri Tielemans","AVL","M","M","229","BMB","@WHU Sun 2:00PM","4.78","4.78","80%","+1%","1","0","19","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"*06zna*","Dan Ndoye","NOT","F","F","152","BukAke","TOT Sun 2:00PM","4.72","4.72","52%","-6%","1","1","66","0","0.0","0","0","1","0","0","0","0","0","0","1","0","1"
"*05w9i*","Marc Cucurella","CHE","D","D","29","BukAke","EVE 0<br/>@CHE 2 F","4.55","4.55","100%","0%","1","1","90","0","0.0","0","0","0","0","1","1","0","0","1","0","0","0"
"*063q8*","Mikkel Damsgaard","BRF","M","M","127","CUM","LEE Sun 4:30PM","4.46","4.46","94%","-1%","1","0","28","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oig*","Liam Delap","CHE","F","F","339","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","4.45","4.45","48%","-21%","1","1","60","0","0.0","0","0","3","1","1","2","0","0","1","0","0","0"
"*04qrc*","Raul Jimenez","FUL","F","F","162","FPLL","FUL 1<br/>@BUR 1","4.44","4.44","77%","+8%","1","1","72","0","0.0","0","0","1","0","0","2","0","0","0","3","0","0"
"*060wh*","Alejandro Garnacho","CHE","M","M","203","FPLL","EVE 0<br/>@CHE 2 F","4.36","4.36","69%","0%","1","0","28","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*05220*","Sepp van den Berg","BRF","D","D","83","Dank95","LEE Sun 4:30PM","4.3","4.3","33%","+1%","1","1","90","0","0.0","0","0","1","0","0","0","0","0","0","0","0","0"
"*068yt*","Sasa Lukic","FUL","M","M","189","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","4.3","4.3","15%","-3%","1","1","45","0","0.0","0","0","0","0","0","2","0","0","0","0","0","0"
"*06v0t*","Wilson Isidor","SUN","F","F","158","FA","NEW Sun 2:00PM","4.29","4.29","35%","-4%","1","0","27","0","0.0","0","0","1","1","0","0","0","0","0","0","0","0"
"*06zbm*","Cristhian Mosquera","ARS","D","D","296","FA","WOL Sat 8:00PM","4.11","4.11","6%","-4%","1","1","43","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*06rlj*","Patrick Dorgu","MUN","D","D","187","FA","BOU Mon 8:00PM","4.07","4.07","49%","-4%","1","0","21","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"*06r5b*","Diego Gomez","BHA","M","M","119","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","4.05","4.05","44%","-7%","1","1","90","0","0.0","0","0","0","0","1","0","1","0","4","0","0","0"
"*05ylw*","Rodrigo Bentancur","TOT","M","M","174","FA","@NOT Sun 2:00PM","4.05","4.05","13%","-1%","1","1","90","0","0.0","0","0","0","0","3","0","1","0","6","0","0","0"
"*03aqp*","Mohamed Salah","LIV","F","F","65","Fsail93","BHA 0<br/>@LIV 2 F","4","4","99%","0%","1","0","45","0","0.0","0","0","2","0","0","0","0","0","0","0","0","0"
"*06mx0*","Leny Yoro","MUN","D","D","195","FA","BOU Mon 8:00PM","3.9","3.9","21%","-2%","1","0","45","0","0.0","0","0","0","0","0","0","0","0","0","1","0","0"
"*05opj*","Elliot Anderson","NOT","M","M","49","Fsail93","TOT Sun 2:00PM","3.8","3.8","98%","0%","1","1","90","0","0.0","0","0","1","0","3","6","1","0","6","0","0","1"
"*06mow*","Jorgen Strand Larsen","WOL","F","F","199","Dank95","@ARS Sat 8:00PM","3.8","3.8","59%","-8%","1","1","90","0","0.0","0","0","0","0","2","1","0","0","2","2","0","0"
"*05uel*","Kristoffer Ajer","BRF","D","D","197","FA","LEE Sun 4:30PM","3.8","3.8","4%","-2%","1","1","90","0","0.0","0","0","0","0","4","0","0","0","4","0","0","0"
"*068yd*","Joao Gomes","WOL","M","M","186","FA","@ARS Sat 8:00PM","3.68","3.68","20%","-2%","1","1","84","0","0.0","0","0","0","0","2","1","1","0","5","0","0","0"
"*070hj*","Kevin Santos Lopes de Macedo","FUL","F","F","254","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","3.54","3.54","20%","-4%","1","0","7","0","0.0","0","0","0","0","1","0","0","0","1","0","0","0"
"*06p5s*","Brajan Gruda","BHA","M","M","281","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","3.52","3.52","18%","+1%","1","1","76","0","0.0","0","0","1","1","2","2","0","0","2","1","0","0"
"*068ym*","Enzo Fernandez","CHE","M","M","39","feeneya","EVE 0<br/>@CHE 2 F","3.35","3.35","100%","0%","1","1","90","0","0.0","0","0","3","0","0","0","0","0","0","0","0","0"
"*05omu*","Ruben Dias","MCI","D","D","41","FPLL","@CRY Sun 2:00PM","3.3","3.3","91%","+3%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*06mn0*","Igor Thiago","BRF","F","F","6","Rozza08","LEE Sun 4:30PM","3.23","3.23","98%","0%","1","0","29","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*070ci*","Amine Adli","BOU","F","F","280","FA","@MUN Mon 8:00PM","3.18","3.18","4%","-2%","1","1","59","0","0.0","0","0","0","0","3","2","0","0","3","0","0","0"
"*05gvx*","Armando Broja","BUR","F","F","371","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","3.16","3.16","3%","+1%","1","0","8","0","0.0","0","0","1","1","0","0","0","0","0","0","0","0"
"*0703c*","Nordi Mukiele","SUN","D","D","45","Dank95","NEW Sun 2:00PM","3.05","3.05","75%","-1%","1","1","90","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
