"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","W","L","D","CS","GA","GAA","Sv","Sv%","STA","YC","RC","FC","FS","PKGA","G","A"
"*03m5i*","Freddie Woodman","LIV","G","G","101","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ls8*","Marcus Bettinelli","MCI","G","G","36","FA","@CRY Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02m3v*","John Ruddy","NEW","G","G","87","FA","@SUN Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzw*","Alex Cairns","LEE","G","G","39","FA","@BRF Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n09*","Mark Gillespie","NEW","G","G","47","FA","@SUN Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*044i7*","Angus Gunn","NOT","G","G","49","FA","TOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*033l8*","Simon Moore","SUN","G","G","72","FA","NEW Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zeg*","Max Thompson","NEW","G","G","92","FA","@SUN Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lym*","Lukasz Fabianski","WHU","G","G","44","FA","AVL Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uzk*","Etienne Green","BUR","G","G","48","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06nyx*","Finlay Herrick","WHU","G","G","55","FA","AVL Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*05rc7*","Harry Tyrer","EVE","G","G","95","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062pa*","Joseph Whitworth","CRY","G","G","99","FA","MCI Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*05u40*","Ellery Balcombe","BRF","G","G","33","FA","LEE Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cmt*","Tom King","EVE","G","G","59","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05y6a*","Filip Marschall","AVL","G","G","64","FA","@WHU Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06jgu*","Callan McKenna","BOU","G","G","67","FA","@MUN Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mex*","Alex Paulsen","BOU","G","G","80","FA","@MUN Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06uzt*","Mike Penders","CHE","G","G","81","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06nk2*","Alexei Rojas Fedorushchenko","ARS","G","G","85","FA","WOL Sat 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062ds*","Matt Turner","NOT","G","G","94","FA","TOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06fxg*","Odysseas Vlachodimos","NEW","G","G","97","FA","@SUN Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06exj*","Luca Gunter","TOT","G","G","50","FA","@NOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0645w*","Krisztian Hegyi","WHU","G","G","53","FA","AVL Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06ews*","Dermot Mee","MUN","G","G","68","FA","BOU Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06zby*","Kornel Misciur","LIV","G","G","71","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ie2*","Sam Proctor","AVL","G","G","82","FA","@WHU Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06nk0*","Tommy Setford","ARS","G","G","89","FA","WOL Sat 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zcb*","Lanre Awesu","WHU","G","G","32","FA","AVL Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06on4*","Julian Eyestone","BRF","G","G","43","FA","LEE Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zbs*","Marcus Hill","CRY","G","G","56","FA","MCI Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06mfw*","Vaclav Hladky","BUR","G","G","57","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06yxc*","Rory Mahady","LEE","G","G","63","FA","@BRF Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*05rbn*","Thomas McGill","BHA","G","G","66","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06rqa*","William Murdock","MUN","G","G","74","FA","BOU Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06nkh*","Reggie Rose","BRF","G","G","86","FA","LEE Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06avm*","James Wright","AVL","G","G","102","FA","@WHU Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zc1*","Carey Bloedorn","TOT","G","G","37","FA","@NOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06ex2*","Aaron Bott","NOT","G","G","38","W <small>(Tue)</small>","TOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06jb3*","Ted Curd","CHE","G","G","41","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06jgt*","Joe Gauci","AVL","G","G","46","FA","@WHU Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06ids*","Adam Harrison","NEW","G","G","51","FA","@SUN Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*072gz*","Ronnie Hollingshead","AVL","G","G","58","FA","@WHU Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06jfh*","Max Merrick","CHE","G","G","69","W <small>(Tue)</small>","EVE 0<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0722r*","Rhys Oakley","AVL","G","G","76","FA","@WHU Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*072cd*","Nils Ramming","BHA","G","G","84","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06617*","Keehan Willows","NOT","G","G","100","FA","TOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
